,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
5737,56,management,married,secondary,no,819,no,no,unknown,9,jun,55,1,-1,0,unknown,no
5738,54,self-employed,single,tertiary,no,384,no,yes,cellular,27,may,200,1,-1,0,unknown,yes
5739,42,blue-collar,married,secondary,no,3,yes,no,telephone,20,nov,47,1,190,1,failure,no
5740,45,management,divorced,tertiary,no,959,no,no,unknown,18,jun,74,1,-1,0,unknown,no
5741,59,services,married,secondary,no,0,yes,no,cellular,12,may,214,3,-1,0,unknown,no
5742,21,student,single,secondary,no,71,no,no,cellular,13,jan,169,2,-1,0,unknown,yes
5743,26,technician,single,secondary,no,639,yes,no,unknown,6,jun,709,5,-1,0,unknown,yes
5744,29,services,single,secondary,no,-205,no,no,cellular,30,jan,194,1,-1,0,unknown,no
5745,27,admin.,single,secondary,no,116,no,no,cellular,30,jan,46,1,-1,0,unknown,no
5746,48,management,divorced,tertiary,no,869,no,no,cellular,18,aug,48,6,-1,0,unknown,no
5747,24,unemployed,single,secondary,no,2696,no,no,cellular,7,sep,107,2,-1,0,unknown,no
5748,32,admin.,single,secondary,no,555,yes,no,cellular,9,sep,344,1,-1,0,unknown,yes
5749,34,blue-collar,divorced,secondary,no,383,yes,no,unknown,13,may,2231,1,-1,0,unknown,yes
5750,47,self-employed,married,primary,no,10697,no,no,cellular,20,nov,274,2,-1,0,unknown,no
5751,29,admin.,single,tertiary,no,514,no,no,cellular,2,feb,270,1,-1,0,unknown,no
5752,40,housemaid,married,primary,no,746,no,no,unknown,20,jun,246,3,-1,0,unknown,no
5753,47,management,married,tertiary,no,6637,yes,no,cellular,17,apr,174,2,-1,0,unknown,no
5754,43,blue-collar,married,secondary,no,30,no,no,cellular,14,may,60,5,371,2,failure,no
5755,52,housemaid,married,primary,no,420,no,no,cellular,7,aug,139,4,-1,0,unknown,no
5756,39,admin.,married,secondary,no,1577,yes,no,unknown,4,jun,282,15,-1,0,unknown,no
5757,52,admin.,married,secondary,no,422,no,no,unknown,19,jun,559,1,-1,0,unknown,no
5758,31,technician,single,tertiary,no,948,yes,no,unknown,8,may,91,2,-1,0,unknown,no
5759,47,blue-collar,married,primary,no,205,yes,no,unknown,8,may,128,2,-1,0,unknown,no
5760,43,services,divorced,secondary,no,7816,yes,no,telephone,15,may,16,3,-1,0,unknown,no
5761,36,technician,married,secondary,no,3579,no,no,cellular,14,aug,308,2,-1,0,unknown,no
5762,38,services,married,secondary,no,0,yes,no,cellular,5,may,263,2,-1,0,unknown,no
5763,35,blue-collar,single,secondary,no,4963,yes,no,cellular,14,may,456,1,300,1,failure,yes
5764,51,unknown,married,unknown,no,167,no,no,unknown,18,jun,205,4,-1,0,unknown,no
5765,24,technician,single,tertiary,no,368,no,no,cellular,7,oct,197,2,-1,0,unknown,no
5766,44,services,married,secondary,no,1106,yes,no,telephone,19,nov,178,5,119,11,failure,no
5767,27,management,single,secondary,no,35,no,no,cellular,4,jul,255,1,-1,0,unknown,no
5768,55,housemaid,married,primary,no,0,no,no,cellular,13,aug,139,2,-1,0,unknown,no
5769,46,entrepreneur,single,tertiary,no,77,yes,yes,unknown,6,jun,520,3,-1,0,unknown,no
5770,44,blue-collar,married,primary,no,-315,yes,no,unknown,23,may,90,3,-1,0,unknown,no
5771,46,management,married,tertiary,no,213,no,no,telephone,27,apr,151,3,-1,0,unknown,no
5772,36,admin.,married,secondary,no,606,yes,no,cellular,2,feb,102,2,-1,0,unknown,no
5773,34,management,married,tertiary,no,2037,no,no,cellular,15,dec,324,2,-1,0,unknown,yes
5774,53,management,married,tertiary,no,210,no,no,cellular,19,aug,96,2,-1,0,unknown,no
5775,29,management,married,tertiary,no,941,yes,no,unknown,4,jun,570,11,-1,0,unknown,no
5776,49,housemaid,married,secondary,no,81,no,yes,unknown,9,jun,493,2,-1,0,unknown,no
5777,29,management,single,tertiary,no,2344,yes,no,cellular,9,mar,265,2,-1,0,unknown,no
5778,31,services,single,secondary,no,0,yes,no,unknown,28,may,231,2,-1,0,unknown,no
5779,39,technician,single,tertiary,no,2617,yes,no,unknown,2,jun,164,2,-1,0,unknown,no
5780,27,blue-collar,married,secondary,no,419,yes,no,unknown,4,jun,1181,2,-1,0,unknown,yes
5781,30,technician,single,tertiary,no,91,yes,yes,cellular,10,jul,179,1,-1,0,unknown,no
5782,67,retired,married,tertiary,no,2841,no,no,cellular,2,feb,62,1,-1,0,unknown,no
5783,30,management,single,secondary,no,135,no,no,cellular,14,aug,112,2,-1,0,unknown,no
5784,47,blue-collar,single,primary,no,355,yes,no,cellular,14,may,144,3,366,1,failure,no
5785,30,blue-collar,married,secondary,no,125,yes,no,unknown,29,may,238,2,-1,0,unknown,no
5786,58,retired,married,tertiary,no,1326,no,no,cellular,28,aug,201,1,-1,0,unknown,no
5787,29,technician,single,tertiary,no,0,yes,no,cellular,7,may,347,2,337,6,failure,yes
5788,28,blue-collar,single,secondary,yes,-2,yes,yes,cellular,13,may,172,2,364,5,failure,no
5789,52,admin.,married,secondary,no,70,yes,no,unknown,3,jun,68,2,-1,0,unknown,no
5790,41,management,divorced,tertiary,yes,-68,yes,yes,cellular,25,aug,463,22,-1,0,unknown,no
5791,39,management,married,secondary,no,13578,yes,no,cellular,21,nov,185,2,-1,0,unknown,no
5792,57,management,divorced,tertiary,no,6468,yes,no,cellular,4,sep,730,1,157,4,failure,yes
5793,27,technician,married,secondary,no,130,yes,no,cellular,7,may,265,3,-1,0,unknown,no
5794,55,management,married,tertiary,no,0,no,no,unknown,29,may,206,2,-1,0,unknown,no
5795,34,services,single,secondary,no,0,yes,no,cellular,17,apr,112,1,332,3,failure,no
5796,31,technician,single,secondary,no,147,yes,no,unknown,7,may,374,1,-1,0,unknown,no
5797,52,blue-collar,divorced,primary,no,0,no,no,cellular,20,nov,19,1,-1,0,unknown,no
5798,37,entrepreneur,single,tertiary,no,1467,yes,yes,cellular,17,nov,349,1,-1,0,unknown,no
5799,33,technician,married,tertiary,no,0,no,no,cellular,30,apr,227,2,-1,0,unknown,yes
5800,56,management,married,tertiary,no,586,no,no,telephone,10,jul,123,1,-1,0,unknown,no
5801,32,technician,married,secondary,no,6172,yes,no,cellular,4,feb,93,1,-1,0,unknown,no
5802,31,management,single,tertiary,no,33,no,no,cellular,19,aug,158,2,-1,0,unknown,no
5803,39,services,married,tertiary,no,35,no,no,cellular,20,aug,211,3,-1,0,unknown,no
5804,35,unemployed,married,secondary,no,1,yes,no,cellular,28,jul,173,8,-1,0,unknown,no
5805,31,management,single,tertiary,no,924,no,no,cellular,7,sep,231,1,94,3,success,yes
5806,51,blue-collar,married,secondary,no,575,no,yes,cellular,20,nov,168,1,-1,0,unknown,no
5807,48,blue-collar,married,secondary,no,685,yes,no,cellular,14,may,387,10,-1,0,unknown,no
5808,57,management,married,tertiary,no,10583,no,no,cellular,22,jun,295,3,-1,0,unknown,yes
5809,37,services,married,secondary,no,-21,yes,yes,unknown,23,may,61,2,-1,0,unknown,no
5810,32,self-employed,married,tertiary,no,1464,no,no,telephone,14,aug,133,2,-1,0,unknown,no
5811,36,admin.,single,secondary,no,13698,no,no,unknown,9,jun,136,1,-1,0,unknown,no
5812,47,technician,married,secondary,no,459,no,no,cellular,28,jan,226,1,-1,0,unknown,no
5813,37,admin.,divorced,tertiary,no,43,yes,no,cellular,20,apr,328,2,264,2,failure,no
5814,30,technician,married,secondary,no,27,yes,no,cellular,19,aug,163,2,-1,0,unknown,no
5815,53,blue-collar,married,primary,no,18,no,no,cellular,26,aug,55,4,-1,0,unknown,no
5816,32,blue-collar,married,secondary,no,536,yes,no,unknown,9,may,208,2,-1,0,unknown,no
5817,52,blue-collar,single,primary,no,210,yes,no,unknown,12,may,154,1,-1,0,unknown,no
5818,39,entrepreneur,married,primary,no,238,yes,yes,cellular,19,nov,134,1,-1,0,unknown,no
5819,41,management,married,tertiary,no,140,yes,no,unknown,5,jun,65,3,-1,0,unknown,no
5820,22,blue-collar,married,secondary,no,-295,yes,no,unknown,26,jun,150,2,-1,0,unknown,no
5821,35,management,married,tertiary,no,36,no,yes,cellular,16,jul,1656,5,-1,0,unknown,yes
5822,28,services,single,secondary,no,458,no,no,cellular,18,jul,328,3,-1,0,unknown,no
5823,49,management,married,tertiary,no,342,no,no,cellular,30,jan,433,2,228,1,failure,no
5824,51,technician,single,secondary,no,8538,yes,no,cellular,11,aug,126,2,-1,0,unknown,no
5825,34,services,single,secondary,no,1239,yes,no,unknown,23,may,164,1,-1,0,unknown,no
5826,38,blue-collar,single,unknown,no,5338,no,no,telephone,19,nov,201,1,-1,0,unknown,no
5827,32,management,married,tertiary,no,268,yes,yes,cellular,20,apr,106,3,-1,0,unknown,no
5828,35,admin.,married,secondary,no,1345,yes,no,cellular,23,jul,135,1,-1,0,unknown,no
5829,28,admin.,married,secondary,no,511,no,no,cellular,28,jan,485,1,-1,0,unknown,no
5830,36,management,single,secondary,no,1511,yes,no,cellular,16,nov,270,1,-1,0,unknown,yes
5831,39,technician,married,secondary,no,597,yes,no,unknown,21,may,298,2,-1,0,unknown,no
5832,39,services,divorced,secondary,no,-388,yes,no,cellular,9,jul,205,2,-1,0,unknown,no
5833,25,management,married,unknown,no,448,no,no,cellular,5,feb,151,1,297,1,success,yes
5834,42,services,divorced,primary,no,0,yes,no,cellular,9,feb,216,2,-1,0,unknown,no
5835,46,unknown,single,secondary,no,0,no,no,unknown,17,jun,156,4,-1,0,unknown,no
5836,29,management,married,tertiary,no,805,no,no,cellular,28,jan,70,1,-1,0,unknown,no
5837,57,housemaid,married,primary,no,625,no,yes,unknown,11,jun,867,1,-1,0,unknown,yes
5838,32,management,single,secondary,no,1615,yes,no,cellular,21,nov,164,3,-1,0,unknown,no
5839,34,blue-collar,single,secondary,no,47,yes,no,cellular,14,apr,232,1,147,2,failure,no
5840,31,management,single,tertiary,no,775,yes,no,cellular,4,may,99,2,14,3,failure,no
5841,54,unemployed,married,tertiary,no,1180,no,no,cellular,19,nov,394,2,-1,0,unknown,no
5842,33,services,married,secondary,no,0,no,no,cellular,9,jul,128,1,-1,0,unknown,no
5843,44,technician,divorced,secondary,no,303,yes,yes,unknown,3,jul,51,1,-1,0,unknown,no
5844,37,management,single,secondary,no,655,no,yes,cellular,4,feb,258,6,-1,0,unknown,no
5845,34,blue-collar,married,secondary,no,516,yes,yes,unknown,2,jun,26,1,-1,0,unknown,no
5846,42,management,married,secondary,no,1018,no,no,cellular,29,jul,305,2,-1,0,unknown,no
5847,43,management,married,secondary,no,107,yes,yes,telephone,28,oct,135,1,-1,0,unknown,yes
5848,28,admin.,married,secondary,no,5,yes,no,cellular,18,jul,121,1,-1,0,unknown,no
5849,45,entrepreneur,married,tertiary,no,770,no,no,cellular,7,aug,65,2,-1,0,unknown,no
5850,52,blue-collar,married,primary,no,1409,yes,no,unknown,19,jun,224,1,-1,0,unknown,no
5851,36,management,married,tertiary,no,925,no,no,cellular,14,dec,321,3,189,4,success,yes
5852,41,admin.,married,secondary,no,1010,yes,no,cellular,17,apr,47,1,338,1,failure,no
5853,32,technician,single,tertiary,yes,0,no,no,cellular,19,nov,122,2,-1,0,unknown,no
5854,33,management,single,tertiary,no,417,yes,no,cellular,6,feb,83,1,-1,0,unknown,no
5855,23,management,single,tertiary,no,1506,no,no,cellular,9,mar,131,4,-1,0,unknown,yes
5856,34,blue-collar,married,secondary,no,463,yes,no,cellular,18,may,11,11,360,4,failure,no
5857,37,blue-collar,single,secondary,no,7622,yes,yes,telephone,6,may,111,1,-1,0,unknown,no
5858,41,self-employed,married,secondary,no,20,no,no,unknown,5,jun,333,1,-1,0,unknown,no
5859,39,technician,single,secondary,no,-529,yes,no,cellular,15,may,22,8,175,5,failure,no
5860,30,technician,single,secondary,no,1625,yes,no,cellular,25,jul,90,3,-1,0,unknown,no
5861,34,blue-collar,married,secondary,no,103,yes,yes,unknown,8,may,956,2,-1,0,unknown,no
5862,29,technician,married,tertiary,no,409,yes,no,unknown,12,may,247,3,-1,0,unknown,no
5863,43,management,married,tertiary,no,1050,yes,yes,cellular,18,jul,67,11,-1,0,unknown,no
5864,49,blue-collar,married,primary,no,183,yes,yes,cellular,6,feb,257,2,-1,0,unknown,no
5865,31,technician,married,secondary,no,0,no,no,cellular,20,aug,117,4,-1,0,unknown,no
5866,43,technician,divorced,secondary,no,305,yes,no,cellular,5,may,674,2,250,4,failure,no
5867,32,blue-collar,single,secondary,no,160,yes,no,telephone,29,jan,48,1,265,1,failure,no
5868,52,technician,married,secondary,no,1781,yes,no,unknown,19,may,144,2,-1,0,unknown,no
5869,34,admin.,single,secondary,no,0,yes,no,unknown,6,may,150,1,-1,0,unknown,no
5870,59,unemployed,married,primary,no,0,no,no,cellular,30,jan,3025,2,-1,0,unknown,no
5871,54,technician,married,secondary,no,114,no,no,cellular,30,jul,458,3,-1,0,unknown,yes
5872,28,management,single,tertiary,no,1,no,no,cellular,24,jul,86,11,-1,0,unknown,no
5873,40,management,single,tertiary,no,269,yes,no,cellular,27,aug,97,4,-1,0,unknown,no
5874,48,management,married,tertiary,no,1344,yes,yes,cellular,14,aug,69,6,-1,0,unknown,no
5875,27,services,married,secondary,no,0,yes,no,cellular,23,jul,198,13,-1,0,unknown,no
5876,32,admin.,married,secondary,no,305,yes,no,unknown,30,may,200,3,-1,0,unknown,no
5877,44,management,married,tertiary,no,2876,no,no,unknown,9,jun,125,1,-1,0,unknown,no
5878,37,blue-collar,married,secondary,no,1590,no,no,unknown,12,jun,305,2,-1,0,unknown,no
5879,27,blue-collar,single,primary,no,-79,yes,no,unknown,30,may,385,5,-1,0,unknown,no
5880,60,housemaid,divorced,primary,no,1190,no,no,unknown,9,jun,166,1,-1,0,unknown,no
5881,57,housemaid,divorced,tertiary,no,3767,no,no,cellular,2,feb,19,6,-1,0,unknown,no
5882,52,admin.,divorced,secondary,no,340,yes,no,cellular,17,apr,463,1,344,1,failure,no
5883,26,technician,single,tertiary,no,36,no,yes,unknown,4,jul,502,2,-1,0,unknown,no
5884,41,retired,single,primary,no,0,no,no,cellular,8,may,239,1,368,2,failure,no
5885,30,entrepreneur,married,secondary,no,2551,yes,no,unknown,5,jun,142,2,-1,0,unknown,no
5886,44,housemaid,divorced,primary,no,629,no,no,cellular,30,jul,432,4,-1,0,unknown,no
5887,31,entrepreneur,single,secondary,no,0,yes,no,telephone,21,nov,544,2,-1,0,unknown,no
5888,55,unknown,married,secondary,yes,-208,yes,no,unknown,3,jun,148,2,-1,0,unknown,no
5889,48,blue-collar,married,primary,no,3020,no,no,cellular,12,aug,645,3,-1,0,unknown,no
5890,52,unemployed,married,primary,no,20,yes,no,telephone,28,jan,172,1,-1,0,unknown,no
5891,65,retired,divorced,secondary,no,744,no,no,cellular,5,jul,182,1,-1,0,unknown,no
5892,28,admin.,single,secondary,no,296,yes,no,unknown,13,may,218,1,-1,0,unknown,no
5893,32,blue-collar,divorced,primary,no,4805,no,yes,cellular,4,jul,138,3,-1,0,unknown,no
5894,35,management,single,tertiary,no,-324,no,yes,cellular,21,jul,985,11,-1,0,unknown,yes
5895,32,technician,single,secondary,no,43,no,no,cellular,5,aug,159,1,-1,0,unknown,no
5896,35,admin.,divorced,secondary,no,3636,no,yes,cellular,21,nov,808,2,-1,0,unknown,yes
5897,36,technician,married,secondary,no,-8,yes,no,unknown,26,may,180,2,-1,0,unknown,no
5898,39,admin.,single,secondary,no,2345,yes,no,cellular,8,may,491,2,344,2,failure,yes
5899,34,technician,single,tertiary,no,449,no,no,cellular,8,aug,765,3,-1,0,unknown,no
5900,47,management,divorced,tertiary,no,12026,yes,no,telephone,27,oct,251,1,-1,0,unknown,yes
5901,48,admin.,divorced,unknown,no,-70,no,no,cellular,14,may,243,1,-1,0,unknown,no
5902,37,self-employed,married,tertiary,no,137,no,no,cellular,13,aug,244,6,-1,0,unknown,no
5903,55,management,divorced,tertiary,no,347,yes,no,cellular,2,feb,115,1,-1,0,unknown,no
5904,37,services,single,secondary,no,1175,yes,no,cellular,15,may,102,1,333,2,failure,no
5905,45,entrepreneur,married,primary,no,-100,yes,no,unknown,27,may,240,6,-1,0,unknown,no
5906,35,services,single,secondary,no,-267,yes,no,unknown,27,may,193,1,-1,0,unknown,no
5907,36,entrepreneur,married,secondary,no,1412,yes,yes,cellular,25,jul,226,1,-1,0,unknown,no
5908,25,management,married,primary,no,168,yes,no,unknown,3,jun,801,1,-1,0,unknown,yes
5909,52,management,single,tertiary,no,597,no,no,cellular,25,aug,84,4,-1,0,unknown,no
5910,51,retired,married,primary,no,752,yes,no,unknown,30,may,214,2,-1,0,unknown,no
5911,53,management,married,secondary,no,218,yes,no,cellular,12,may,27,6,344,12,failure,no
5912,29,services,married,secondary,no,23,no,no,cellular,17,jul,57,4,-1,0,unknown,no
5913,28,admin.,married,secondary,no,897,no,no,cellular,17,mar,395,1,285,1,success,no
5914,57,management,married,tertiary,no,929,no,no,cellular,19,aug,387,8,-1,0,unknown,no
5915,40,blue-collar,married,primary,no,592,yes,no,cellular,18,may,80,3,350,2,failure,no
5916,56,self-employed,married,unknown,no,7,no,no,unknown,6,may,305,2,-1,0,unknown,no
5917,27,technician,single,tertiary,no,1976,no,no,cellular,18,mar,394,2,101,1,other,no
5918,34,blue-collar,married,secondary,no,2436,yes,no,cellular,14,may,8,7,-1,0,unknown,no
5919,37,services,married,secondary,no,3429,yes,yes,unknown,26,may,81,8,-1,0,unknown,no
5920,54,management,married,tertiary,no,-547,no,no,cellular,8,jul,156,1,-1,0,unknown,no
5921,39,admin.,divorced,unknown,no,64,yes,no,cellular,18,jul,147,1,-1,0,unknown,no
5922,37,admin.,single,secondary,no,862,no,no,cellular,21,jul,152,2,-1,0,unknown,no
5923,41,management,married,secondary,no,218,yes,no,unknown,16,may,247,1,-1,0,unknown,no
5924,38,management,single,tertiary,no,574,yes,no,cellular,28,jan,62,1,-1,0,unknown,no
5925,41,technician,married,secondary,no,636,yes,no,cellular,21,nov,1055,1,177,1,other,no
5926,41,admin.,married,primary,no,1314,yes,no,cellular,20,apr,159,1,326,1,failure,no
5927,38,management,married,tertiary,no,223,no,no,cellular,28,jan,63,1,-1,0,unknown,no
5928,36,blue-collar,single,secondary,no,168,yes,no,telephone,12,may,52,1,-1,0,unknown,no
5929,32,management,single,tertiary,no,813,no,no,cellular,28,aug,114,7,-1,0,unknown,no
5930,40,management,divorced,tertiary,no,1315,yes,no,cellular,9,apr,466,2,141,5,failure,no
5931,37,services,single,secondary,no,278,yes,no,unknown,3,jun,1045,3,-1,0,unknown,yes
5932,26,technician,single,secondary,yes,-454,no,yes,cellular,18,jul,652,2,-1,0,unknown,no
5933,37,blue-collar,married,secondary,no,166,yes,no,unknown,13,may,135,3,-1,0,unknown,no
5934,53,admin.,married,secondary,no,578,no,no,cellular,29,aug,59,2,-1,0,unknown,no
5935,31,technician,married,secondary,no,169,yes,no,unknown,27,may,143,1,-1,0,unknown,no
5936,34,entrepreneur,single,tertiary,no,714,yes,no,cellular,21,nov,122,3,193,4,failure,no
5937,46,management,married,tertiary,no,51,no,no,cellular,6,aug,39,9,-1,0,unknown,no
5938,60,technician,married,secondary,no,-410,no,no,cellular,19,aug,143,2,-1,0,unknown,no
5939,42,unknown,married,secondary,no,703,yes,no,cellular,10,jul,210,1,-1,0,unknown,no
5940,47,unemployed,married,primary,no,4274,no,no,telephone,28,jan,852,2,-1,0,unknown,no
5941,52,admin.,married,secondary,no,799,no,no,cellular,21,jul,128,2,-1,0,unknown,no
5942,67,retired,married,primary,no,2,no,no,cellular,28,oct,1118,1,-1,0,unknown,no
5943,26,unemployed,single,tertiary,no,521,no,no,cellular,6,feb,123,3,-1,0,unknown,no
5944,33,management,single,secondary,no,2915,no,no,cellular,6,aug,126,2,-1,0,unknown,no
5945,41,technician,married,secondary,no,799,no,no,cellular,31,jul,125,6,-1,0,unknown,no
5946,54,admin.,married,secondary,no,1279,yes,yes,cellular,28,jan,102,2,-1,0,unknown,no
5947,27,blue-collar,single,primary,no,1209,no,no,cellular,29,jan,283,1,-1,0,unknown,no
5948,33,technician,married,tertiary,no,2690,yes,no,cellular,21,jul,71,5,-1,0,unknown,no
5949,31,technician,single,tertiary,no,-241,yes,no,cellular,18,may,333,2,355,1,failure,no
5950,46,admin.,married,primary,no,276,yes,yes,unknown,6,may,157,2,-1,0,unknown,no
5951,27,admin.,single,secondary,no,-215,yes,no,unknown,20,may,89,3,-1,0,unknown,no
5952,56,blue-collar,divorced,secondary,no,486,yes,no,unknown,18,jun,577,4,-1,0,unknown,no
5953,46,technician,divorced,secondary,no,0,no,no,telephone,14,aug,135,8,-1,0,unknown,no
5954,36,management,divorced,tertiary,no,0,no,no,unknown,20,jun,519,2,-1,0,unknown,no
5955,34,management,married,tertiary,no,169,no,no,cellular,25,aug,115,4,-1,0,unknown,no
5956,45,blue-collar,married,secondary,no,90,yes,no,unknown,29,may,744,6,-1,0,unknown,no
5957,27,technician,single,secondary,no,90,no,no,cellular,2,feb,82,3,-1,0,unknown,no
5958,32,technician,single,secondary,no,-569,yes,no,cellular,6,may,107,1,-1,0,unknown,no
5959,33,housemaid,married,tertiary,no,98,yes,yes,unknown,7,may,109,1,-1,0,unknown,no
5960,33,management,married,tertiary,no,22867,yes,no,cellular,10,nov,266,2,92,3,failure,yes
5961,59,blue-collar,married,primary,no,0,no,yes,telephone,14,jul,160,10,-1,0,unknown,no
5962,25,blue-collar,single,secondary,yes,15,yes,no,telephone,6,may,44,1,-1,0,unknown,no
5963,26,blue-collar,single,secondary,no,972,yes,no,unknown,20,may,177,10,-1,0,unknown,no
5964,48,management,single,tertiary,no,0,yes,yes,cellular,8,may,76,1,-1,0,unknown,no
5965,33,services,divorced,secondary,no,2411,yes,no,cellular,23,oct,130,1,161,1,failure,yes
5966,60,management,married,unknown,no,6313,no,no,unknown,19,jun,39,2,-1,0,unknown,no
5967,23,services,single,secondary,no,495,yes,yes,cellular,18,may,302,1,-1,0,unknown,no
5968,28,management,married,tertiary,no,395,no,no,unknown,21,may,178,1,-1,0,unknown,no
5969,55,blue-collar,married,primary,no,137,no,no,telephone,8,jul,377,1,-1,0,unknown,no
5970,38,technician,married,secondary,no,581,yes,no,unknown,6,may,79,1,-1,0,unknown,no
5971,45,management,married,tertiary,no,210,yes,no,cellular,21,jul,623,1,-1,0,unknown,no
5972,36,admin.,single,secondary,no,810,yes,no,unknown,17,jun,296,1,-1,0,unknown,no
5973,52,blue-collar,single,primary,no,0,no,no,cellular,15,jul,131,2,-1,0,unknown,no
5974,27,technician,single,tertiary,no,3064,no,yes,cellular,28,jan,389,1,-1,0,unknown,no
5975,60,admin.,married,unknown,no,478,no,no,cellular,11,sep,324,8,-1,0,unknown,no
5976,38,technician,single,secondary,no,-143,yes,no,unknown,30,may,428,7,-1,0,unknown,no
5977,33,technician,divorced,secondary,yes,-305,no,yes,unknown,9,may,109,1,-1,0,unknown,no
5978,58,entrepreneur,married,tertiary,no,0,no,yes,cellular,30,jan,540,1,2,2,other,no
5979,39,housemaid,married,tertiary,no,2990,no,no,telephone,30,apr,127,4,-1,0,unknown,no
5980,30,blue-collar,married,secondary,no,61,yes,no,cellular,5,may,525,1,-1,0,unknown,yes
5981,35,management,single,secondary,no,0,no,no,cellular,21,aug,163,1,-1,0,unknown,no
5982,31,services,single,secondary,no,-341,no,no,unknown,4,jun,171,3,-1,0,unknown,no
5983,29,blue-collar,married,primary,yes,-43,yes,no,unknown,9,may,484,1,-1,0,unknown,no
5984,34,admin.,married,secondary,no,2378,yes,yes,telephone,10,jul,92,1,-1,0,unknown,no
5985,49,management,married,tertiary,no,2809,yes,no,cellular,27,aug,152,9,-1,0,unknown,no
5986,36,services,single,secondary,no,9713,yes,no,unknown,27,may,72,3,-1,0,unknown,no
5987,34,self-employed,married,secondary,no,47,no,no,cellular,4,feb,362,2,169,2,failure,no
5988,32,blue-collar,married,secondary,no,356,yes,no,cellular,8,may,451,3,-1,0,unknown,no
5989,47,admin.,divorced,secondary,no,1939,yes,no,cellular,19,nov,150,1,174,1,failure,no
5990,51,self-employed,married,tertiary,no,2235,no,no,cellular,21,nov,8,3,-1,0,unknown,no
5991,39,blue-collar,married,secondary,no,11854,yes,no,cellular,15,may,15,9,-1,0,unknown,no
5992,39,services,married,primary,no,1601,yes,no,unknown,23,may,201,2,-1,0,unknown,no
5993,39,management,married,tertiary,yes,-1586,yes,yes,cellular,16,jul,89,2,-1,0,unknown,no
5994,28,admin.,single,secondary,no,775,no,no,cellular,29,jan,603,2,-1,0,unknown,no
5995,48,management,divorced,tertiary,no,503,no,yes,unknown,12,jun,1243,7,-1,0,unknown,yes
5996,48,services,divorced,secondary,no,3186,no,yes,cellular,9,apr,104,1,-1,0,unknown,no
5997,30,admin.,divorced,secondary,no,419,no,no,cellular,3,sep,72,2,-1,0,unknown,no
5998,45,management,married,tertiary,no,-319,yes,no,unknown,23,may,254,1,-1,0,unknown,no
5999,58,unemployed,married,secondary,no,687,yes,no,cellular,30,apr,341,2,-1,0,unknown,yes
6000,74,retired,married,primary,no,1413,no,no,cellular,25,feb,385,2,-1,0,unknown,yes
6001,52,services,married,secondary,no,517,yes,no,unknown,17,jun,180,1,-1,0,unknown,no
6002,38,technician,single,secondary,no,0,no,no,cellular,21,aug,66,2,-1,0,unknown,no
6003,32,admin.,married,secondary,no,1974,yes,no,unknown,30,may,104,3,-1,0,unknown,no
6004,30,blue-collar,single,secondary,no,148,no,no,cellular,2,apr,206,1,-1,0,unknown,no
6005,32,admin.,divorced,secondary,no,298,yes,no,cellular,9,feb,12,4,-1,0,unknown,no
6006,37,management,married,tertiary,no,11,no,no,cellular,21,nov,326,1,-1,0,unknown,no
6007,31,management,single,tertiary,no,-307,yes,yes,unknown,26,may,91,2,-1,0,unknown,no
6008,43,admin.,married,secondary,no,59,yes,no,cellular,15,jul,60,3,-1,0,unknown,no
6009,34,services,married,secondary,no,0,yes,no,cellular,21,apr,95,1,-1,0,unknown,no
6010,46,technician,married,secondary,no,-408,yes,yes,telephone,7,may,138,4,286,1,other,no
6011,40,management,married,tertiary,no,326,no,no,cellular,8,aug,236,2,-1,0,unknown,no
6012,31,management,single,tertiary,no,0,no,no,cellular,26,aug,120,6,-1,0,unknown,no
6013,45,admin.,married,secondary,no,248,no,no,cellular,16,jul,212,2,-1,0,unknown,no
6014,39,admin.,married,secondary,no,-139,no,no,cellular,30,jul,120,2,-1,0,unknown,no
6015,32,blue-collar,single,secondary,no,706,yes,no,unknown,20,may,152,1,-1,0,unknown,no
6016,57,admin.,married,secondary,no,3242,no,no,cellular,8,aug,521,4,-1,0,unknown,no
6017,40,self-employed,married,tertiary,no,3059,yes,yes,cellular,18,nov,41,1,182,1,failure,no
6018,29,blue-collar,single,secondary,no,1296,yes,yes,cellular,29,jan,275,1,240,1,other,no
6019,31,admin.,married,secondary,no,10,no,no,cellular,15,jul,156,4,-1,0,unknown,no
6020,38,technician,single,tertiary,no,2350,no,no,cellular,30,jul,101,2,-1,0,unknown,no
6021,39,technician,married,secondary,no,52,no,no,cellular,12,aug,96,2,-1,0,unknown,no
6022,37,blue-collar,married,primary,no,543,yes,no,unknown,21,may,281,1,-1,0,unknown,no
6023,82,retired,married,primary,no,103,no,no,cellular,1,sep,368,1,-1,0,unknown,no
6024,49,admin.,divorced,secondary,no,-212,yes,yes,cellular,11,may,469,1,350,1,failure,no
6025,32,blue-collar,single,tertiary,no,700,no,no,unknown,13,nov,90,1,-1,0,unknown,yes
6026,57,unknown,married,unknown,no,106,no,no,unknown,12,may,836,4,-1,0,unknown,no
6027,45,unemployed,divorced,primary,yes,-249,yes,yes,unknown,1,jul,92,1,-1,0,unknown,no
6028,36,entrepreneur,married,secondary,no,0,yes,no,cellular,29,jan,344,3,-1,0,unknown,no
